Date,symbol,open,high,low,Adj Close,Volume ETH,Volume USDT,tradecount
12/13/2018 0:00,ETH/USDT,89.39,90.71,84.71,86.34,331218.3008,29089359.83,94842
12/14/2018 0:00,ETH/USDT,86.35,87.25,82.2,83.82,318003.7343,27041687.8,102917
12/15/2018 0:00,ETH/USDT,83.82,85,81.79,83.76,217360.6578,18169124,83696
12/16/2018 0:00,ETH/USDT,83.75,87.64,83.73,84.67,241366.7631,20783723.69,78098
12/17/2018 0:00,ETH/USDT,84.68,97,84.4,94.02,472252.2339,42965553.42,156319
12/18/2018 0:00,ETH/USDT,94.03,101.3,91.34,100.39,529946.7918,50202945.79,173951
12/19/2018 0:00,ETH/USDT,100.39,107.55,97.75,98.74,827748.591,84862730.23,258340
12/20/2018 0:00,ETH/USDT,98.73,116,97.88,114.05,859612.5721,93128082.55,272100
12/21/2018 0:00,ETH/USDT,113.71,118,104.76,107.69,666048.7179,74510414.59,242389
12/22/2018 0:00,ETH/USDT,107.67,115.5,105.38,115.2,405672.8312,44814571.61,159158
12/23/2018 0:00,ETH/USDT,115.18,131.94,114.91,129.03,936094.1049,118250392.6,302293
12/24/2018 0:00,ETH/USDT,129.03,157.67,128.8,138.03,1319609.817,190137361.1,426763
12/25/2018 0:00,ETH/USDT,138.01,139.26,119.68,127.6,1076164.128,136600862,328349
12/26/2018 0:00,ETH/USDT,127.61,135.32,122.51,129.35,794834.056,102196717.4,258222
12/27/2018 0:00,ETH/USDT,129.35,131.09,111.22,113.8,752177.9011,90456912.89,230428
12/28/2018 0:00,ETH/USDT,113.75,136.66,111.87,135.3,894454.1905,111865576.5,248671
12/29/2018 0:00,ETH/USDT,135.3,145.42,128.5,132.89,1006654.498,136479145.9,291165
12/30/2018 0:00,ETH/USDT,133,139,127.03,137.77,704259.4161,94804050.49,232606
12/31/2018 0:00,ETH/USDT,137.81,138.66,128.7,131.45,484604.8396,64763118.12,157669
1/1/2019 0:00,ETH/USDT,131.45,140.67,130,139.1,401776.888,54280385.6,125799
1/2/2019 0:00,ETH/USDT,139.1,155.37,137.76,152.01,941486.3152,138801471.1,253070
1/3/2019 0:00,ETH/USDT,152.01,153.64,143.11,146.3,708091.3171,104953535.1,206600
1/4/2019 0:00,ETH/USDT,146.3,154.8,143.54,151.97,805248.9382,120827141.5,224385
1/5/2019 0:00,ETH/USDT,152.08,159.26,151.2,152.83,773169.1374,120238339.8,231172
1/6/2019 0:00,ETH/USDT,152.83,157.4,147.51,153.86,627908.4737,95681339.46,204337
1/7/2019 0:00,ETH/USDT,153.89,155.48,147.86,149.34,424765.3026,64310962.92,157568
1/8/2019 0:00,ETH/USDT,149.29,151.65,145.2,147.6,441661.0678,65535529.76,170585
1/9/2019 0:00,ETH/USDT,147.62,151.5,146.77,148.1,299443.563,44673066.39,125358
1/10/2019 0:00,ETH/USDT,148.11,149.45,121,124.95,871751.7504,114437025.3,290765
1/11/2019 0:00,ETH/USDT,124.96,127.36,120.08,124.65,545293.9837,67782816.34,197047
1/12/2019 0:00,ETH/USDT,124.67,126.19,122,123.35,300262.134,37295866.35,122024
1/13/2019 0:00,ETH/USDT,123.35,124.25,111.87,114.16,422561.9678,49521201.28,137005
1/14/2019 0:00,ETH/USDT,114.17,130.05,113.94,126.95,546420.4085,66801543.31,181074
1/15/2019 0:00,ETH/USDT,126.95,129.4,116,118.95,649020.5297,79985529.56,200989
1/16/2019 0:00,ETH/USDT,118.93,126.88,118.52,121.48,513486.6547,62314226,192912
1/17/2019 0:00,ETH/USDT,121.49,122.99,116.8,121.54,447535.2272,53854069.21,169098
1/18/2019 0:00,ETH/USDT,121.56,121.98,117.66,119.17,235646.684,28305971.67,112833
1/19/2019 0:00,ETH/USDT,119.16,125.29,119.14,122.6,323303.793,39715159.16,117187
1/20/2019 0:00,ETH/USDT,122.61,123.32,115.68,117.47,451792.8535,53833668.91,164941
1/21/2019 0:00,ETH/USDT,117.56,118.5,113.61,115.63,303632.9346,35258073.43,119538
1/22/2019 0:00,ETH/USDT,115.62,119.49,111.39,117.81,359542.6387,41777737.47,134797
1/23/2019 0:00,ETH/USDT,117.8,118.95,114.8,116.44,230247.6158,26975386.39,102993
1/24/2019 0:00,ETH/USDT,116.4,117.15,113.61,116.39,216242.2983,25044265.75,90622
1/25/2019 0:00,ETH/USDT,116.4,117.5,114.3,115.11,198617.0811,22977175.95,85660
1/26/2019 0:00,ETH/USDT,115.13,118,115,115.34,146216.8282,16978386.2,68368
1/27/2019 0:00,ETH/USDT,115.32,116.15,111.04,112.05,247369.6056,28158012.73,97152
1/28/2019 0:00,ETH/USDT,112.04,112.87,100.91,105.5,566205.7829,60050129.39,177547
1/29/2019 0:00,ETH/USDT,105.49,106.61,102.22,104.45,319768.9135,33427469.35,129221
1/30/2019 0:00,ETH/USDT,104.41,109.8,103.45,108.29,330968.1927,35368520.14,118866
1/31/2019 0:00,ETH/USDT,108.29,110.61,105.46,106.44,290679.6194,31234353.52,102532
2/1/2019 0:00,ETH/USDT,106.47,108.35,103.77,106.73,243149.8844,25791535.15,86314
2/2/2019 0:00,ETH/USDT,106.71,111.15,106.07,110.42,186908.7573,20153872.3,67351
