Name,Code,Date,Open,Close,High,Low,Volume,First,Last
S*Mobarakeh Steel-a,FOLD,20181126,1671,1651.81,1682,1628,63842374,1632.73,1653.40
S*Mobarakeh Steel-a,FOLD,20181127,1652,1666.43,1701,1652,14317226,1667.07,1659.76
S*Mobarakeh Steel-a,FOLD,20181128,1666,1604.11,1666,1586,39017983,1664.53,1599.34
S*Mobarakeh Steel-a,FOLD,20181201,1604,1550.06,1589,1524,97731978,1586.63,1561.19
S*Mobarakeh Steel-a,FOLD,20181202,1550,1616.51,1627,1574,44025493,1573.91,1627.32
S*Mobarakeh Steel-a,FOLD,20181203,1617,1680.42,1697,1638,21261740,1669.29,1681.70
S*Mobarakeh Steel-a,FOLD,20181204,1680,1670.88,1707,1628,32946474,1707.13,1672.16
S*Mobarakeh Steel-a,FOLD,20181205,1671,1675.65,1695,1644,20283154,1653.40,1674.70
S*Mobarakeh Steel-a,FOLD,20181208,1676,1657.53,1677,1636,18571155,1675.65,1645.45
S*Mobarakeh Steel-a,FOLD,20181209,1658,1638.13,1666,1618,17183553,1643.86,1634.00
S*Mobarakeh Steel-a,FOLD,20181210,1638,1637.50,1650,1628,14530523,1638.13,1634.32
S*Mobarakeh Steel-a,FOLD,20181211,1637,1635.27,1647,1609,15722071,1643.86,1612.70
S*Mobarakeh Steel-a,FOLD,20181212,1635,1606.97,1631,1574,23209204,1589.80,1592.98
S*Mobarakeh Steel-a,FOLD,20181215,1607,1598.07,1609,1577,12695652,1605.07,1584.08
S*Mobarakeh Steel-a,FOLD,20181216,1598,1562.46,1583,1539,21015445,1581.22,1551.65
S*Mobarakeh Steel-a,FOLD,20181217,1562,1514.45,1586,1485,44353159,1532.57,1494.42
S*Mobarakeh Steel-a,FOLD,20181218,1514,1509.04,1523,1477,23724471,1519.22,1484.56
S*Mobarakeh Steel-a,FOLD,20181219,1509,1445.13,1493,1434,28495309,1462.94,1451.17
S*Mobarakeh Steel-a,FOLD,20181222,1445,1447.99,1456,1444,15057314,1456.26,1449.90
S*Mobarakeh Steel-a,FOLD,20181223,1448,1509.36,1520,1463,22353014,1463.57,1513.49
S*Mobarakeh Steel-a,FOLD,20181224,1509,1528.12,1546,1512,22634085,1545.29,1519.85
S*Mobarakeh Steel-a,FOLD,20181225,1528,1507.77,1541,1494,14096584,1528.12,1503.96
S*Mobarakeh Steel-a,FOLD,20181226,1508,1527.80,1552,1507,25537182,1519.85,1531.30
S*Mobarakeh Steel-a,FOLD,20181229,1528,1550.70,1590,1525,16171412,1527.48,1571.05
